iter	MultiClass
0	1.321743749
1	1.26788705
2	1.224269071
3	1.183166209
4	1.152287633
5	1.122935104
6	1.098160253
7	1.075430935
8	1.056144615
9	1.036404405
10	1.018353205
11	1.002540826
12	0.9893528897
13	0.9768078897
14	0.9662080303
15	0.9554846456
16	0.9452679352
17	0.9362305931
18	0.9277165542
19	0.9192934961
20	0.9124826496
21	0.904911978
22	0.8978936344
23	0.8912639868
24	0.885383232
25	0.8799454635
26	0.8750783438
27	0.8692273831
28	0.8639017148
29	0.8590192487
30	0.8547780997
31	0.8513036
32	0.8456611381
33	0.8425692557
34	0.8377910144
35	0.8339744143
36	0.8310016901
37	0.8276502893
38	0.8238113327
39	0.8198173219
40	0.8159589198
41	0.8130068866
42	0.809008875
43	0.8050264223
44	0.8017087243
45	0.799405206
46	0.7965914711
47	0.7930486812
48	0.7898835502
49	0.7871268432
50	0.7841198721
51	0.7818363126
52	0.7793998912
53	0.7767780985
54	0.775216959
55	0.7732531336
56	0.7712195613
57	0.7690791855
58	0.7670994486
59	0.7653378445
60	0.7634396202
61	0.7602836554
62	0.7583991646
63	0.7558433832
64	0.7522841058
65	0.7493239428
66	0.7461549086
67	0.7432610165
68	0.7410261249
69	0.7386623849
70	0.7359336452
71	0.7338641203
72	0.7314740064
73	0.7289063786
74	0.7263758016
75	0.7228392194
76	0.7204885592
77	0.7177723643
78	0.716116042
79	0.7145596037
80	0.7117667503
81	0.7087172315
82	0.7066099009
83	0.7057052553
84	0.7037408214
85	0.7020210055
86	0.6999853588
87	0.6978636984
88	0.6947091035
89	0.6934150893
90	0.6907464548
91	0.6885159896
92	0.6871284672
93	0.6845850404
94	0.6827264974
95	0.6812052758
96	0.6790780724
97	0.6774055626
98	0.6748154124
99	0.671622917
100	0.6695458885
101	0.6675703537
102	0.6641511163
103	0.6619770704
104	0.6599483143
105	0.6574409051
106	0.6565704719
107	0.6555144212
108	0.6534752968
109	0.6520086797
110	0.649947576
111	0.6475940523
112	0.645046202
113	0.6422619642
114	0.6402521591
115	0.6379667917
116	0.6350472052
117	0.6335312085
118	0.6314615051
119	0.6286376106
120	0.6269758696
121	0.6251729506
122	0.6240220894
123	0.6212567831
124	0.6188280989
125	0.617150965
126	0.6155332557
127	0.6134980523
128	0.6115425959
129	0.6095233672
130	0.6076668829
131	0.6058879552
132	0.6046095629
133	0.6030220752
134	0.6008569088
135	0.598643905
136	0.5966566337
137	0.5948109479
138	0.592658602
139	0.5918810265
140	0.5896754049
141	0.588576566
142	0.5870982156
143	0.5854007574
144	0.583084672
145	0.5811992214
146	0.579350481
147	0.5770105197
148	0.5751778699
149	0.5734483546
150	0.5715995784
151	0.570869029
152	0.5696782221
153	0.5681116572
154	0.5667217701
155	0.5648349163
156	0.5635164015
157	0.5623986628
158	0.5602462663
159	0.5584372197
160	0.557262425
161	0.5547064408
162	0.5538422032
163	0.5525406278
164	0.5508235495
165	0.5491420497
166	0.5475080416
167	0.5460004023
168	0.5432082145
169	0.5411039461
170	0.539291598
171	0.5374389188
172	0.5359634259
173	0.5341926881
174	0.5318635397
175	0.5306008601
176	0.5293965506
177	0.5282262332
178	0.5265716318
179	0.5255259797
180	0.5231824288
181	0.522276437
182	0.5206620972
183	0.51967254
184	0.5181551062
185	0.5172310107
186	0.5159151131
187	0.5145015676
188	0.5133903681
189	0.5113408263
190	0.5103474132
191	0.5083293222
192	0.5071361373
193	0.5053817479
194	0.5035230722
195	0.5022224187
196	0.5005817577
197	0.499529045
198	0.4980747386
199	0.4962509386
200	0.4950381958
201	0.4931959672
202	0.4915905616
203	0.4904014173
204	0.4894755098
205	0.4880084708
206	0.4872118361
207	0.4863883952
208	0.4856180869
209	0.4847848915
210	0.4830495333
211	0.4811365748
212	0.4797994342
213	0.478340255
214	0.4772190353
215	0.4763778951
216	0.4750832952
217	0.474175642
218	0.4727050494
219	0.4704990679
220	0.4690615576
221	0.4681997293
222	0.4666450381
223	0.4651013026
224	0.4643508792
225	0.4634762924
226	0.462393125
227	0.4606488309
228	0.4592648804
229	0.4588891299
230	0.457630873
231	0.4562738191
232	0.4555974836
233	0.4537748509
234	0.4525183589
235	0.4512589639
236	0.4506456663
237	0.4496842439
238	0.4484213964
239	0.446582809
240	0.4460286675
241	0.444468268
242	0.4435477312
243	0.4424856109
244	0.4410556518
245	0.4397373332
246	0.4388915462
247	0.4378517453
248	0.4368647434
249	0.436006935
250	0.434740661
251	0.4333440623
252	0.4321923773
253	0.4316159926
254	0.4305140564
255	0.428418598
256	0.4268823817
257	0.4261117312
258	0.4248816825
259	0.4244000911
260	0.423525701
261	0.4222535943
262	0.4209872919
263	0.4196724768
264	0.4187968089
265	0.417711616
266	0.4164797672
267	0.4154459458
268	0.4148417861
269	0.4133616659
270	0.4126166324
271	0.4118900115
272	0.4113049023
273	0.4100241294
274	0.4089479748
275	0.4078790766
276	0.4071421593
277	0.4055930393
278	0.4045507943
279	0.4036740906
280	0.4024990324
281	0.4012461109
282	0.399408455
283	0.3981277789
284	0.3970895513
285	0.395699237
286	0.3950175535
287	0.394234846
288	0.3929027441
289	0.392094689
290	0.3912864793
291	0.3905055003
292	0.3897519218
293	0.3885687618
294	0.3874632036
295	0.3865180407
296	0.3848105797
297	0.3838713838
298	0.3829112703
299	0.382102373
300	0.3812227219
301	0.3802170868
302	0.3790756266
303	0.3779616909
304	0.3769079942
305	0.375982118
306	0.3752972317
307	0.3739795104
308	0.3727083216
309	0.3720074594
310	0.370682611
311	0.3696104067
312	0.3685418671
313	0.3677507522
314	0.3665951553
315	0.3656030248
316	0.365007815
317	0.3642077644
318	0.3637951886
319	0.3626760843
320	0.3623759224
321	0.3615193158
322	0.3606839227
323	0.3595985854
324	0.3592525259
325	0.3578632007
326	0.3570300883
327	0.3565017649
328	0.3555772237
329	0.3544822194
330	0.3535644915
331	0.3521804204
332	0.3511264857
333	0.3503200213
334	0.349705651
335	0.3490247418
336	0.3481773841
337	0.3468132697
338	0.3459863703
339	0.3453091382
340	0.3443771394
341	0.3438783859
342	0.3425631321
343	0.341450348
344	0.3407166755
345	0.3401302987
346	0.3394402837
347	0.338839112
348	0.3376939925
349	0.3370787404
350	0.3361374096
351	0.3355262059
352	0.335149079
353	0.3346754239
354	0.3337050195
355	0.3329332528
356	0.3321078916
357	0.3315884476
358	0.3309692434
359	0.3304884249
360	0.329906361
361	0.3293412176
362	0.3287697566
363	0.3277365941
364	0.3273278765
365	0.3266680255
366	0.3258106995
367	0.3249497126
368	0.324247332
369	0.3239299059
370	0.3230808324
371	0.3228066991
372	0.3219316947
373	0.3210974279
374	0.3202344713
375	0.3194132734
376	0.3187753735
377	0.317556609
378	0.3163893474
379	0.3152766869
380	0.3149254352
381	0.314041951
382	0.3133258513
383	0.3128172802
384	0.3122325117
385	0.311494669
386	0.3108182625
387	0.3102914391
388	0.3097510761
389	0.3091663982
390	0.3084523101
391	0.3078952623
392	0.3071510863
393	0.3066196401
394	0.3060727191
395	0.3054523397
396	0.3046007268
397	0.3041409553
398	0.3034828643
399	0.3028426497
400	0.3021625488
401	0.3016308627
402	0.3007137795
403	0.2999515628
404	0.2991683393
405	0.2978643811
406	0.2968947319
407	0.2959134605
408	0.2951804898
409	0.29464942
410	0.2939780092
411	0.293259927
412	0.2928569881
413	0.2925066241
414	0.2922275564
415	0.291590921
416	0.2909722696
417	0.2905678185
418	0.2900066809
419	0.2890529688
420	0.2885113818
421	0.2875729569
422	0.2867411731
