iter	Passed	Remaining
0	189	189332
1	229	114475
2	255	84800
3	278	69423
4	303	60405
5	327	54175
6	354	50220
7	379	47031
8	408	45021
9	438	43446
10	465	41811
11	490	40379
12	516	39236
13	541	38103
14	567	37252
15	593	36481
16	620	35881
17	650	35505
18	675	34888
19	700	34325
20	725	33826
21	750	33375
22	777	33031
23	802	32633
24	828	32323
25	858	32178
26	886	31955
27	916	31814
28	946	31699
29	975	31535
30	1006	31448
31	1037	31387
32	1104	32377
33	1133	32194
34	1164	32116
35	1195	32004
36	1228	31973
37	1266	32063
38	1303	32110
39	1351	32435
40	1392	32560
41	1428	32581
42	1469	32698
43	1508	32769
44	1545	32795
45	1585	32883
46	1622	32891
47	1657	32881
48	1692	32844
49	1727	32818
50	1759	32739
51	1793	32696
52	1836	32819
53	1872	32799
54	1907	32777
55	1942	32744
56	1978	32736
57	2015	32730
58	2055	32778
59	2095	32831
60	2133	32840
61	2169	32822
62	2203	32769
63	2236	32714
64	2272	32688
65	2309	32680
66	2341	32607
67	2376	32568
68	2409	32513
69	2444	32475
70	2478	32425
71	2514	32412
72	2552	32418
73	2584	32340
74	2615	32257
75	2647	32190
76	2679	32123
77	2710	32038
78	2743	31980
79	2779	31960
80	2810	31885
81	2843	31836
82	2875	31771
83	2908	31718
84	2944	31692
85	2982	31702
86	3020	31697
87	3060	31717
88	3097	31706
89	3132	31668
90	3167	31637
91	3199	31574
92	3238	31587
93	3274	31557
94	3307	31505
95	3342	31475
96	3377	31443
97	3410	31393
98	3451	31409
99	3488	31400
100	3522	31349
101	3555	31302
102	3590	31271
103	3626	31239
104	3668	31266
105	3702	31228
106	3735	31178
107	3767	31120
108	3801	31070
109	3833	31019
110	3874	31031
111	3912	31024
112	3949	30998
113	3982	30952
114	4016	30910
115	4051	30878
116	4089	30862
117	4121	30809
118	4153	30747
119	4185	30692
120	4221	30670
121	4255	30624
122	4292	30605
123	4325	30559
124	4357	30500
125	4388	30441
126	4419	30380
127	4454	30348
128	4496	30358
129	4532	30333
130	4568	30305
131	4601	30261
132	4634	30214
133	4673	30205
134	4711	30189
135	4750	30180
136	4787	30155
137	4823	30132
138	4857	30090
139	4896	30075
140	4938	30083
141	4976	30068
142	5016	30064
143	5055	30054
144	5093	30032
145	5132	30019
146	5176	30035
147	5214	30019
148	5252	30001
149	5291	29983
150	5327	29956
151	5364	29926
152	5405	29925
153	5446	29922
154	5483	29894
155	5520	29867
156	5558	29847
157	5594	29813
158	5638	29822
159	5678	29810
160	5716	29787
161	5755	29774
162	5796	29765
163	5839	29765
164	5885	29782
165	5934	29816
166	5970	29783
167	6015	29789
168	6052	29762
169	6091	29741
170	6128	29708
171	6164	29676
172	6200	29639
173	6232	29588
174	6267	29549
175	6300	29499
176	6334	29455
177	6371	29424
178	6405	29379
179	6440	29341
180	6479	29319
181	6511	29264
182	6540	29201
183	6572	29147
184	6604	29093
185	6634	29034
186	6664	28973
187	6694	28913
188	6725	28857
189	6756	28805
190	6795	28783
191	6830	28745
192	6868	28718
193	6901	28673
194	6937	28640
195	6971	28595
196	7005	28553
197	7042	28524
198	7077	28486
199	7111	28447
200	7146	28407
201	7180	28368
202	7216	28334
203	7255	28311
204	7293	28283
205	7331	28258
206	7368	28227
207	7404	28194
208	7441	28165
209	7481	28144
210	7522	28129
211	7560	28100
212	7596	28069
213	7632	28034
214	7667	27995
215	7704	27964
216	7742	27938
217	7780	27908
218	7815	27872
219	7851	27838
220	7886	27798
221	7924	27771
222	7964	27752
223	8006	27738
224	8043	27706
225	8083	27682
226	8118	27646
227	8160	27632
228	8197	27598
229	8231	27557
230	8266	27520
231	8302	27484
232	8338	27449
233	8375	27417
234	8413	27388
235	8450	27356
236	8485	27317
237	8519	27275
238	8552	27233
239	8591	27206
240	8629	27177
241	8669	27153
242	8706	27121
243	8743	27089
244	8784	27069
245	8829	27062
246	8875	27058
247	8919	27046
248	8957	27017
249	9001	27005
250	9048	27001
251	9109	27038
252	9159	27044
253	9207	27042
254	9259	27053
255	9329	27114
256	9397	27168
257	9445	27163
258	9501	27184
259	9549	27178
260	9595	27170
261	9643	27163
262	9694	27166
263	9745	27169
264	9788	27149
265	9831	27128
266	9876	27112
267	9923	27105
268	9967	27085
269	10021	27093
270	10059	27059
271	10098	27028
272	10139	27001
273	10176	26964
274	10221	26946
275	10264	26925
276	10301	26889
277	10339	26854
278	10391	26854
279	10435	26834
280	10471	26792
281	10507	26753
282	10543	26712
283	10586	26688
284	10627	26662
285	10663	26622
286	10698	26578
287	10734	26538
288	10768	26493
289	10802	26446
290	10841	26413
291	10888	26400
292	10925	26362
293	10961	26322
294	10999	26287
295	11042	26263
296	11087	26244
297	11121	26200
298	11156	26156
299	11197	26128
300	11243	26111
301	11281	26075
302	11332	26068
303	11371	26034
304	11409	25998
305	11446	25959
306	11485	25926
307	11523	25890
308	11565	25862
309	11604	25830
310	11647	25805
311	11684	25765
312	11720	25725
313	11757	25686
314	11818	25699
315	11863	25679
316	11906	25652
317	11949	25628
318	11994	25606
319	12031	25567
320	12068	25528
321	12108	25496
322	12145	25456
323	12182	25418
324	12220	25380
325	12262	25352
326	12299	25314
327	12336	25274
328	12372	25233
329	12408	25193
330	12447	25159
331	12498	25147
332	12535	25109
333	12574	25073
334	12610	25031
335	12643	24985
336	12679	24944
337	12720	24913
338	12754	24870
339	12789	24826
340	12824	24783
341	12856	24736
342	12894	24699
343	12936	24670
344	12976	24636
345	13012	24595
346	13047	24552
347	13082	24511
348	13119	24471
349	13159	24439
350	13202	24410
351	13252	24395
352	13297	24371
353	13337	24339
354	13376	24303
355	13417	24272
356	13457	24238
357	13495	24201
358	13535	24167
359	13571	24127
360	13612	24095
361	13649	24057
362	13687	24018
363	13728	23987
364	13765	23947
365	13803	23910
366	13842	23875
367	13877	23833
368	13913	23793
369	13953	23758
370	13992	23723
371	14028	23682
372	14065	23643
373	14102	23605
374	14137	23562
375	14170	23516
376	14206	23475
377	14248	23445
378	14290	23414
379	14330	23380
380	14366	23341
381	14408	23309
382	14444	23269
383	14481	23230
384	14518	23192
385	14556	23154
386	14593	23115
387	14627	23072
388	14662	23029
389	14698	22990
390	14736	22952
391	14773	22914
392	14808	22872
393	14846	22834
394	14884	22798
395	14924	22763
396	14972	22741
397	15009	22702
398	15046	22664
399	15083	22625
400	15121	22587
401	15156	22546
402	15194	22509
403	15232	22472
404	15270	22435
405	15308	22397
406	15344	22356
407	15381	22318
408	15419	22280
409	15457	22243
410	15494	22205
411	15531	22166
412	15568	22128
413	15608	22092
414	15649	22059
415	15692	22029
416	15732	21994
417	15773	21961
418	15812	21926
419	15852	21891
420	15896	21862
421	15936	21827
422	15974	21789
423	16008	21747
424	16042	21704
425	16078	21664
426	16115	21625
427	16153	21588
428	16189	21547
429	16225	21508
430	16255	21460
431	16287	21414
432	16319	21369
433	16353	21327
434	16387	21285
435	16421	21241
436	16453	21197
437	16485	21152
438	16517	21107
439	16550	21064
440	16587	21025
441	16620	20982
442	16655	20941
443	16691	20902
444	16725	20859
445	16762	20821
446	16800	20784
447	16836	20745
448	16872	20705
449	16911	20669
450	16946	20628
451	16983	20590
452	17019	20550
453	17055	20512
454	17090	20470
455	17123	20428
456	17156	20384
457	17190	20342
458	17226	20304
459	17263	20265
460	17299	20226
461	17333	20185
462	17366	20142
463	17401	20101
464	17440	20066
465	17479	20030
466	17523	19999
467	17559	19960
468	17596	19922
469	17632	19883
470	17699	19879
471	17740	19845
472	17781	19811
473	17819	19774
474	17862	19743
475	17902	19707
476	17947	19677
477	17986	19642
478	18022	19603
479	18060	19565
480	18097	19527
481	18138	19492
482	18178	19458
483	18216	19421
484	18253	19382
485	18291	19345
486	18329	19308
487	18375	19279
488	18419	19248
489	18465	19219
490	18514	19193
491	18562	19165
492	18609	19138
493	18657	19110
494	18703	19081
495	18761	19063
496	18816	19043
497	18889	19041
498	18948	19024
499	19004	19004
500	19063	18987
501	19120	18967
502	19173	18945
503	19232	18927
504	19294	18912
505	19346	18887
506	19404	18868
507	19457	18845
508	19511	18821
509	19565	18798
510	19619	18774
511	19672	18750
512	19737	18737
513	19796	18718
514	19848	18692
515	19906	18671
516	19967	18654
517	20021	18629
518	20071	18601
519	20120	18572
520	20173	18547
521	20237	18531
522	20297	18512
523	20349	18485
524	20407	18463
525	20467	18444
526	20525	18422
527	20582	18399
528	20648	18384
529	20714	18369
530	20775	18350
531	20851	18343
532	20928	18337
533	20991	18318
534	21050	18295
535	21108	18272
536	21171	18254
537	21237	18237
538	21298	18216
539	21368	18202
540	21420	18173
541	21467	18140
542	21515	18107
543	21563	18075
544	21617	18047
545	21665	18015
546	21717	17985
547	21763	17950
548	21806	17913
549	21873	17896
550	21924	17866
551	21980	17839
552	22024	17802
553	22066	17765
554	22116	17733
555	22174	17707
556	22234	17683
557	22306	17669
558	22368	17646
559	22423	17618
560	22478	17589
561	22528	17557
562	22581	17528
563	22639	17501
564	22693	17472
565	22744	17440
566	22799	17411
567	22868	17392
568	22927	17366
569	22981	17336
570	23038	17308
571	23090	17277
572	23135	17240
573	23202	17219
574	23253	17187
575	23298	17150
576	23341	17111
577	23386	17074
578	23427	17034
579	23468	16994
580	23513	16956
581	23553	16916
582	23599	16880
583	23643	16842
584	23691	16806
585	23732	16766
586	23774	16727
587	23825	16694
588	23873	16658
589	23920	16622
590	23971	16589
591	24018	16553
592	24069	16519
593	24112	16480
594	24158	16443
595	24200	16404
596	24243	16365
597	24284	16325
598	24325	16285
599	24366	16244
600	24410	16206
601	24459	16170
602	24505	16133
603	24557	16100
604	24615	16071
605	24703	16061
606	24745	16021
607	24794	15985
608	24848	15953
609	24899	15919
610	24955	15888
611	25000	15849
612	25047	15812
613	25095	15776
614	25145	15741
