epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,152.711,1.08364,0.55848,1,0.9543,0.000236141,0.000236141,0.000236141
2,355.05,0.87015,0.60331,1,0.7958,0.000427201,0.000427201,0.000427201
3,523.094,0.82849,0.60624,1,0.85667,0.000571137,0.000571137,0.000571137
4,688.803,0.76527,0.68129,1,0.70069,0.000501942,0.000501942,0.000501942
5,843.755,0.71516,0.66569,1,0.7057,0.000431256,0.000431256,0.000431256
6,1002.13,0.68234,0.73294,1,0.60103,0.00036057,0.00036057,0.00036057
7,1159.83,0.62475,0.72612,1,0.60994,0.000289884,0.000289884,0.000289884
8,1342.2,0.58084,0.78363,1,0.4949,0.000219198,0.000219198,0.000219198
9,1504.72,0.55186,0.80507,1,0.44887,0.000148512,0.000148512,0.000148512
10,1664.11,0.51993,0.82261,1,0.41121,7.7826e-05,7.7826e-05,7.7826e-05
