epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,197.477,1.04408,0.60136,1,0.93114,0.00023707,0.00023707,0.00023707
2,377.322,0.88369,0.62573,1,0.79204,0.000451554,0.000451554,0.000451554
3,560.624,0.84054,0.6501,1,0.79753,0.000642476,0.000642476,0.000642476
4,744.605,0.78754,0.6462,1,0.7474,0.000607971,0.000607971,0.000607971
5,1132.16,0.73532,0.7037,1,0.64824,0.000572628,0.000572628,0.000572628
6,1282.51,0.70197,0.67934,1,0.68643,0.000537285,0.000537285,0.000537285
7,1502.77,0.63488,0.71832,1,0.61949,0.000501942,0.000501942,0.000501942
8,1690.91,0.61976,0.7768,1,0.48881,0.000466599,0.000466599,0.000466599
9,1857.83,0.57202,0.79532,1,0.45462,0.000431256,0.000431256,0.000431256
10,2039.28,0.53394,0.82261,1,0.39999,0.000395913,0.000395913,0.000395913
11,2216.49,0.49319,0.81676,1,0.39951,0.00036057,0.00036057,0.00036057
12,2379.4,0.46508,0.85478,1,0.35776,0.000325227,0.000325227,0.000325227
13,2539.83,0.43265,0.85965,1,0.36191,0.000289884,0.000289884,0.000289884
14,2702.2,0.39919,0.88012,1,0.33933,0.000254541,0.000254541,0.000254541
15,2867.73,0.40293,0.88304,1,0.29193,0.000219198,0.000219198,0.000219198
16,3048.93,0.38931,0.89474,1,0.27487,0.000183855,0.000183855,0.000183855
17,3207.65,0.38817,0.89474,1,0.25057,0.000148512,0.000148512,0.000148512
18,3366.09,0.33829,0.90448,1,0.25561,0.000113169,0.000113169,0.000113169
19,3533.51,0.32935,0.90058,1,0.25365,7.7826e-05,7.7826e-05,7.7826e-05
20,3698.83,0.32051,0.91131,1,0.23161,4.2483e-05,4.2483e-05,4.2483e-05
